index,Best Performance
0,0.15023033
1,0.19057709
2,0.36439028
3,0.12604909
4,0.105984226
5,0.14195386
6,0.14147076
7,0.16006942
8,0.15681973
9,0.17462192
10,0.1694042
11,0.13054498
12,0.28464338
13,0.18667997
14,0.09548341
15,0.17862336
16,0.1228457
17,0.2529579
18,0.16031317
19,0.20319803
20,0.38570037
21,0.21862403
22,0.18466121
23,0.14413434
24,0.1930941
25,0.123171344
26,0.096307985
27,0.15957096
28,0.09892542
29,0.29965395
30,0.07608746
31,0.17024375
32,0.10963175
33,0.09922882
34,0.17203055
35,0.14325187
36,0.11524534
37,0.34965163
38,0.13297261
39,0.11336757
40,0.16586663
41,0.12785743
42,0.091674976
43,0.1631975
44,0.18335767
45,0.14261992
46,0.15413661
47,0.1580631
48,0.2364975
49,0.17473061
50,0.12964885
51,0.16781306
52,0.18800145
53,0.22788012
54,0.15578315
55,0.14025296
56,0.07406346
57,0.13414243
58,0.17237303
59,0.08455446
60,0.116342515
61,0.14999063
62,0.39046913
63,0.112169385
64,0.07936873
65,0.14374541
66,0.15997696
67,0.15675762
68,0.15558729
69,0.2610841
70,0.15718444
71,0.1129688
72,0.222034
73,0.14999402
74,0.11602022
75,0.24465542
76,0.2047646
77,0.15143856
78,0.23507926
79,0.13098173
80,0.083476484
81,0.11863419
82,0.15305907
83,0.16584904
84,0.1198486
85,0.10534007
86,0.1636772
87,0.1156035
88,0.1941116
89,0.15798455
90,0.20629232
91,0.1774053
92,0.1266277
93,0.07812501
94,0.28330696
95,0.3263839
96,0.24818073
97,0.1208901
98,0.12802066
99,0.18308902
100,0.22188164
101,0.15062387
102,0.15213543
103,0.093418576
104,0.17006023
105,0.15356489
106,0.17531922
107,0.19456485
108,0.14289168
109,0.22454962
110,0.15436776
111,0.20148692
112,0.09670163
113,0.12918648
114,0.090356484
115,0.13453285
116,0.14098243
117,0.12882213
118,0.19451033
119,0.08622016
120,0.12909801
121,0.15988003
122,0.13616343
123,0.18675387
124,0.100398205
125,0.18315265
126,0.25282493
127,0.1326772
128,0.1648313
129,0.18826173
130,0.089267686
131,0.14080359
132,0.16603851
133,0.12595755
134,0.17541313
135,0.10390473
136,0.10741864
137,0.14086173
138,0.14196631
139,0.1567078
140,0.16228375
141,0.10426861
142,0.16794229
143,0.1273071
144,0.087663576
145,0.2255642
146,0.19062985
147,0.10897977
148,0.1926414
149,0.08512691
150,0.115104675
151,0.20835158
152,0.14360988
153,0.09651918
154,0.07050836
155,0.14043672
156,0.28298458
157,0.15381631
158,0.24231987
159,0.17723568
160,0.115770884
161,0.14215222
162,0.12608224
163,0.14369828
164,0.22476228
165,0.12609085
166,0.17942846
167,0.14055987
168,0.1733219
169,0.18606953
170,0.28289363
171,0.104234695
172,0.22193898
173,0.09356115
174,0.2078044
175,0.109151855
176,0.166377
177,0.09261546
178,0.14394908
179,0.13415988
180,0.18865305
181,0.07178814
182,0.124638684
183,0.1058653
184,0.1618176
185,0.11072045
186,0.18804634
187,0.19190663
188,0.101590164
189,0.12504716
190,0.06684935
191,0.23815303
192,0.12174171
193,0.1649973
194,0.20416644
195,0.07604415
196,0.15123756
197,0.1800342
198,0.18714325
199,0.12256349
200,0.13405943
201,0.12780248
202,0.07402378
203,0.13460584
204,0.12608695
205,0.10955361
206,0.3639852
207,0.1524314
208,0.09269714
209,0.17432849
210,0.087879226
211,0.1533544
212,0.13299862
213,0.08812379
214,0.14621788
215,0.16464292
216,0.08130941
217,0.13666496
218,0.1294669
219,0.17609167
220,0.15523264
221,0.14204276
222,0.15317175
223,0.1435447
224,0.1570422
225,0.14725506
226,0.2510152
227,0.17701657
228,0.11643051
229,0.17206417
230,0.120690614
231,0.10591482
232,0.12338808
233,0.15665825
234,0.20356193
235,0.17033531
236,0.14660679
237,0.283828
238,0.20476827
239,0.17073517
240,0.08067625
241,0.15836735
242,0.13108177
243,0.17458121
244,0.12617709
245,0.08818358
246,0.216791
247,0.11374369
248,0.07405746
249,0.2711913
250,0.098870404
251,0.15754795
252,0.096695736
253,0.13682468
254,0.16391075
255,0.14885454
256,0.1335209
257,0.0826425
258,0.18740793
259,0.17414175
260,0.101103395
261,0.24676196
262,0.1447309
263,0.1302096
264,0.13476476
265,0.13096425
266,0.11817955
267,0.21592839
268,0.14339583
269,0.106798284
270,0.114098914
271,0.11206128
272,0.19766214
273,0.17021705
274,0.15485446
275,0.19848663
276,0.10636151
277,0.09457935
278,0.16176513
279,0.20896131
280,0.13680725
281,0.3113431
282,0.088700466
283,0.16289297
284,0.16037834
285,0.23971498
286,0.10138347
287,0.13203458
288,0.107455105
289,0.12942375
290,0.21732967
291,0.13630937
292,0.1373026
293,0.19932444
294,0.12059004
295,0.210625
296,0.11567382
297,0.31919476
298,0.08760784
299,0.0928209
300,0.124397986
301,0.18242556
302,0.14765617
303,0.16603382
304,0.22939746
305,0.16602328
306,0.15085766
307,0.09229376
308,0.27342716
309,0.12320275
310,0.11753676
311,0.26907262
312,0.17060868
313,0.15814872
314,0.10875748
315,0.15232427
316,0.14163072
317,0.06943911
318,0.16721566
319,0.18256867
320,0.20539723
321,0.105317086
322,0.20749238
323,0.086266175
324,0.14111713
325,0.14989261
326,0.10501123
327,0.13598695
328,0.17300326
329,0.12648077
330,0.07280201
331,0.20558242
332,0.17808452
333,0.15823697
334,0.092931114
335,0.20884028
336,0.12710625
337,0.16905129
338,0.3109024
339,0.16323507
340,0.16931497
341,0.34753639
342,0.16801074
343,0.17353408
344,0.10770468
345,0.14652647
346,0.22194837
347,0.15419368
348,0.14839412
349,0.18517354
350,0.12009675
351,0.17035215
352,0.28965557
353,0.12952708
354,0.13626105
355,0.09838387
356,0.1259347
357,0.34847048
358,0.12694696
359,0.13161874
360,0.14305708
361,0.09164004
362,0.089066945
363,0.15853745
364,0.21879973
365,0.21713991
366,0.12628949
367,0.10083557
368,0.14262195
369,0.12479157
370,0.22981128
371,0.10973369
372,0.08306661
373,0.1936552
374,0.12758902
375,0.104443714
376,0.18013038
377,0.1596893
378,0.07196341
379,0.27099603
380,0.221518
381,0.12750511
382,0.29225725
383,0.2622429
384,0.14645508
385,0.17972513
386,0.20051502
387,0.18733902
388,0.13857469
389,0.122564405
390,0.10185432
391,0.29150453
392,0.10848166
393,0.18088323
394,0.16560258
395,0.21135773
396,0.39750177
397,0.16897823
398,0.15216133
399,0.15250662
400,0.10540905
401,0.1350899
402,0.1805505
403,0.1909924
404,0.1166355
405,0.14346714
406,0.20931877
407,0.18410678
408,0.14726995
409,0.1472405
410,0.12973027
411,0.18808536
412,0.15363772
413,0.17852193
414,0.11323113
415,0.12791704
416,0.24684829
417,0.100668736
418,0.12431705
419,0.20989783
420,0.22606036
421,0.14332587
422,0.08489522
423,0.17762275
424,0.07397324
425,0.14059524
426,0.17220809
427,0.23002082
428,0.2221459
429,0.18147753
430,0.1329993
431,0.22839494
432,0.08826755
433,0.14234607
434,0.2820672
435,0.20317157
436,0.1343121
437,0.26866367
438,0.13854831
439,0.13064715
440,0.21406674
441,0.16488114
442,0.10646965
443,0.13679805
444,0.10408568
445,0.08766025
446,0.16725254
447,0.21459566
448,0.09100622
449,0.117412284
450,0.21022302
451,0.16506152
452,0.076467685
453,0.13643375
454,0.17917195
455,0.10810989
456,0.10284076
457,0.10627106
458,0.09381319
459,0.15505496
460,0.08605677
461,0.11208157
462,0.1816038
463,0.084214374
464,0.112048924
465,0.14570387
466,0.086799055
467,0.13724133
468,0.1574274
469,0.07486934
470,0.10098531
471,0.10134868
472,0.19029301
473,0.20148009
474,0.14792395
475,0.12345344
476,0.14566992
477,0.20169331
478,0.12605199
479,0.1468861
480,0.12020948
481,0.092168726
482,0.1123175
483,0.22796223
484,0.12867852
485,0.15246962
486,0.157012
487,0.16795444
488,0.14481133
489,0.1730091
490,0.17079374
491,0.1378147
492,0.11418011
493,0.15176241
494,0.11199783
495,0.08612346
496,0.19689669
497,0.23182862
498,0.117435716
499,0.2145662
500,0.126042
501,0.12838317
502,0.28797743
503,0.11793103
504,0.14983027
505,0.18171325
506,0.19545245
507,0.12655233
508,0.13078685
509,0.10316296
510,0.13507274
511,0.23260559
512,0.21862198
513,0.15436889
514,0.117375955
515,0.09959269
516,0.1080499
517,0.25204623
518,0.11152484
519,0.17641613
520,0.25005877
521,0.32334843
522,0.12331053
523,0.10698075
524,0.15544371
525,0.1464172
526,0.23925813
527,0.15561739
528,0.19494511
529,0.11696388
530,0.21071261
531,0.07103939
532,0.14660883
533,0.111070566
534,0.10783273
535,0.16479419
536,0.13193858
537,0.12512162
538,0.17975968
539,0.09359088
540,0.13940361
541,0.10625075
542,0.103811696
543,0.17337488
544,0.10975068
545,0.11599384
546,0.23563966
547,0.15236947
548,0.09861455
549,0.22334892
550,0.11304592
551,0.14422405
552,0.08264657
553,0.17353307
554,0.1842632
555,0.29141584
556,0.13759083
557,0.34331003
558,0.15901934
559,0.11424305
560,0.123850144
561,0.10145996
562,0.11178555
563,0.22221075
564,0.17928103
565,0.21582708
566,0.08755049
567,0.14254007
568,0.14682621
569,0.1551171
570,0.15636657
571,0.14964484
572,0.07615708
573,0.13624561
574,0.13080502
575,0.1478568
576,0.2092457
577,0.1406592
578,0.08016394
579,0.15792514
580,0.17346057
581,0.19711696
582,0.15180416
583,0.18047334
584,0.10500118
585,0.13071217
586,0.17094089
587,0.17210175
588,0.15849763
589,0.088223524
590,0.10978789
591,0.1590637
592,0.16673398
593,0.123442076
594,0.13634095
595,0.20286193
596,0.10857623
597,0.0839343
598,0.125428
599,0.18543053
600,0.23538303
601,0.15068173
602,0.1340321
603,0.18714185
604,0.11185488
605,0.18748355
606,0.093951225
607,0.2798324
608,0.11902749
609,0.13900001
610,0.14460994
611,0.147924
612,0.1547907
613,0.13173188
614,0.08415048
615,0.10853193
616,0.09036147
617,0.13571268
618,0.1900631
619,0.15124944
620,0.14125285
621,0.09443812
622,0.1566331
623,0.13351166
624,0.17002697
625,0.15745364
626,0.34735003
627,0.10952271
628,0.117044695
629,0.13454093
630,0.15877746
631,0.19855395
632,0.12759747
633,0.27686706
634,0.12877432
635,0.20212354
636,0.12002199
637,0.13873239
638,0.16031447
639,0.15018702
640,0.19927691
641,0.13757087
642,0.123766296
643,0.08858068
644,0.19180742
645,0.123646356
646,0.17424269
647,0.1397218
648,0.15325421
649,0.08230691
650,0.21696496
651,0.19201645
652,0.17856547
653,0.12615955
654,0.14353919
655,0.12332345
656,0.13821201
657,0.08158262
658,0.17072645
659,0.1748733
660,0.15728293
661,0.1396785
662,0.10210377
663,0.16363505
664,0.24550793
665,0.25712094
666,0.20659788
667,0.23301384
668,0.14609413
669,0.24568276
670,0.21060482
671,0.0892225
672,0.10233824
673,0.1784134
674,0.11326088
675,0.42993924
676,0.09901046
677,0.21239835
678,0.08415282
679,0.14750655
680,0.12350157
681,0.11368686
682,0.15719463
683,0.11808639
684,0.08234358
685,0.28055543
686,0.19670837
687,0.13247454
688,0.18597911
689,0.252423
690,0.13544267
691,0.1573821
692,0.2109117
693,0.09497835
694,0.20197317
695,0.15765345
696,0.18707255
697,0.16134027
698,0.20519578
699,0.14988919
700,0.10054364
701,0.14519769
702,0.15420383
703,0.18611217
704,0.14223498
705,0.19173479
706,0.0918485
707,0.14199057
708,0.16405943
709,0.25817174
710,0.22302948
711,0.0893271
712,0.17581311
713,0.097077124
714,0.18267705
715,0.1661474
716,0.123396575
717,0.14694995
718,0.16792235
719,0.17120229
720,0.173198
721,0.17168845
722,0.20403324
723,0.10164876
724,0.38232532
725,0.17365162
726,0.16482897
727,0.086544685
728,0.20300104
729,0.15586133
730,0.18481453
731,0.34672356
732,0.20887485
733,0.14836235
734,0.13109179
735,0.20932013
736,0.098104104
737,0.17460157
738,0.10931662
739,0.23510897
740,0.1668385
741,0.17629473
742,0.0898538
743,0.10104643
744,0.09977338
745,0.10994541
746,0.18547647
747,0.14947633
748,0.20610538
749,0.17722376
750,0.16407317
751,0.079708196
752,0.22500846
753,0.08608012
754,0.12339411
755,0.114633225
756,0.20163457
757,0.1735414
