,job_level,job_duration_in_current_job_level,person_level,job_duration_in_current_person_level,job_duration_in_current_branch,Employee_type,Employee_status,gender,age,marital_status_maried(Y/N),number_of_dependences,number_of_dependences (male),number_of_dependences (female),Education_level,GPA,year_graduated,job_duration_as_permanent_worker,job_duration_from_training,branch_rotation,job_rotation,assign_of_otherposition,annual leave,sick_leaves,Best Performance,Avg_achievement_%,Last_achievement_%,Achievement_above_100%_during3quartal,achievement_target_1,achievement_target_2,achievement_target_3
0,JG05,8.0,PG06,8.0,0.5,RM_type_A,Permanent,Female,1964,Y,3,1,2,level_4,2.32,1987,30.0,30,9,7,0,8,0,0,68.85,72.53,0.0,6,7,3
1,JG04,5.17,PG04,2.0,1.25,RM_type_A,Permanent,Male,1979,Y,3,2,1,level_4,3.25,2001,15.0,16,7,7,9,3,0,0,94.81,101.13,3.0,6,6,3
2,JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1980,Y,1,0,1,level_5,3.23,2007,15.0,15,9,9,0,6,0,0,72.82,71.3,0.0,5,7,2
3,JG04,7.92,PG04,4.0,0.17,RM_type_A,Permanent,Male,1984,Y,0,0,0,level_3,0.0,2006,8.0,8,5,5,0,3,0,0,86.89,90.09,2.0,6,6,2
4,JG04,1.83,PG03,1.83,2.08,RM_type_A,Permanent,Male,1984,Y,1,0,1,,,,7.0,7,4,6,11,2,1,1,95.17,100.72,2.0,7,8,2
5,JG04,1.75,PG03,1.75,6.25,RM_type_C,Permanent,Male,1984,Y,2,2,0,,,,6.0,6,1,4,14,12,0,1,89.30333333333333,87.16,2.0,5,7,3
6,JG04,1.75,PG03,1.75,1.33,RM_type_B,Permanent,Female,1986,N,0,0,0,level_4,3.65,2008,6.0,6,7,5,0,0,2,1,66.81666666666666,70.43,0.0,6,7,3
7,JG04,1.75,PG03,1.75,5.92,RM_type_A,Permanent,Male,1984,Y,0,0,0,,,,6.0,6,1,4,4,10,0,0,86.0,81.32,2.0,6,7,3
8,JG04,2.42,PG03,2.42,1.5,RM_type_A,Permanent,Male,1987,Y,1,1,0,level_3,2.84,2008,6.0,6,3,2,1,8,5,0,110.43,101.79,3.0,6,5,2
9,JG04,1.75,PG03,1.75,1.5,RM_type_C,Permanent,Male,1988,Y,0,0,0,level_4,3.23,2011,5.0,5,3,3,2,5,1,0,92.12666666666668,92.57,3.0,6,6,2
10,JG04,1.75,PG03,1.75,0.67,RM_type_B,Permanent,Male,1986,Y,2,0,2,,,,5.0,5,3,2,1,8,0,0,105.88,111.04,3.0,6,8,2
11,JG04,1.42,PG03,1.42,0.0,RM_type_B,Permanent,Male,1983,Y,0,0,0,,,,5.0,5,3,5,0,0,1,0,76.04666666666667,79.96,0.0,6,7,2
12,JG04,1.5,PG03,1.5,1.5,RM_type_B,Permanent,Female,1988,Y,1,1,0,level_4,3.14,2010,5.0,5,5,4,0,2,0,1,74.82000000000002,72.36,0.0,6,7,2
13,JG04,2.0,PG03,2.0,1.5,RM_type_A,Permanent,Male,1989,Y,0,0,0,level_4,0.0,2011,5.0,5,4,4,0,8,1,0,70.49333333333334,72.33,0.0,6,7,3
14,JG04,1.83,PG03,1.83,1.5,RM_type_A,Permanent,Male,1990,Y,0,0,0,,,,4.0,4,2,4,0,3,0,1,98.57,94.5,3.0,6,8,2
15,JG04,1.67,PG03,1.67,0.5,RM_type_B,Permanent,Male,1990,N,0,0,0,level_4,3.01,2013,4.0,4,2,3,2,8,0,0,119.91666666666669,117.14,3.0,6,8,3
16,JG04,1.75,PG03,1.75,1.42,RM_type_C,Permanent,Male,1986,Y,1,0,1,,,,4.0,4,2,4,0,2,0,1,78.72000000000001,75.49,1.0,8,6,2
17,JG04,1.33,PG03,1.33,0.5,RM_type_A,Permanent,Female,1989,Y,1,0,1,level_4,2.89,2011,3.0,3,2,2,0,2,2,0,55.06999999999999,57.69,0.0,7,7,2
18,JG04,1.83,PG03,1.83,1.33,RM_type_B,Permanent,Male,1991,Y,1,1,0,level_4,2.89,2014,3.0,3,3,2,0,2,1,0,55.35,65.77,0.0,6,7,3
19,JG04,1.33,PG03,1.33,0.25,RM_type_B,Permanent,Male,1991,Y,1,1,0,level_4,3.0,2014,2.0,2,3,2,0,5,0,1,13.0,13.0,0.0,7,7,3
20,JG05,2.42,PG05,2.42,1.5,RM_type_A,Permanent,Female,1971,Y,3,2,1,level_4,0.0,\N,24.0,24,10,9,0,6,2,1,111.9,112.1,3.0,6,5,3
21,JG05,2.75,PG06,0.0,0.5,RM_type_A,Permanent,Female,1969,N,0,0,0,level_4,0.0,2011,25.0,25,11,10,1,3,0,0,70.09,72.39,0.0,6,7,3
22,JG05,6.58,PG06,5.0,3.5,RM_type_A,Permanent,Female,1971,Y,2,0,2,level_1,0.0,\N,29.0,29,12,6,0,3,0,0,83.81333333333333,91.7,1.0,6,6,3
23,JG05,8.0,PG06,5.5,0.5,RM_type_A,Permanent,Male,1970,Y,2,0,2,level_4,2.7,1996,17.0,22,10,6,8,4,0,0,60.90666666666666,64.79,0.0,6,7,3
24,JG04,1.83,PG03,1.83,0.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,0.0,2008,6.0,6,3,3,0,15,0,0,70.00999999999999,77.06,0.0,6,7,2
25,JG04,1.42,PG03,1.42,1.5,RM_type_B,Permanent,Male,1983,Y,2,1,1,level_4,3.03,2008,6.0,6,4,5,0,1,0,0,68.88666666666667,70.26,0.0,6,6,2
26,JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1985,Y,1,0,1,level_3,3.03,2006,6.0,6,4,3,2,3,4,0,57.42666666666667,59.81,0.0,6,7,3
27,JG04,1.92,PG03,1.92,0.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_3,2.92,2008,6.0,6,5,3,0,3,3,0,45.44,40.17,0.0,6,7,2
28,JG04,1.75,PG03,1.75,2.5,RM_type_A,Permanent,Male,1987,Y,1,0,1,level_4,3.44,2010,6.0,6,4,4,0,5,0,1,83.30333333333334,93.59,2.0,6,6,3
29,JG04,1.42,PG03,1.42,0.0,RM_type_A,Permanent,Male,1985,Y,1,0,1,level_4,2.8,2010,6.0,6,4,3,2,3,0,0,57.48333333333334,59.24,0.0,7,6,2
30,JG04,2.67,PG03,2.67,1.5,RM_type_B,Permanent,Male,1986,N,0,0,0,,,,6.0,6,4,2,0,2,0,0,99.03666666666668,110.09,3.0,5,6,3
31,JG04,2.33,PG03,2.33,1.5,RM_type_A,Permanent,Male,1985,Y,1,1,0,level_4,2.8,2009,6.0,6,3,3,4,2,0,1,58.21,66.8,0.0,5,7,3
32,JG04,2.67,PG03,2.67,1.5,RM_type_A,Permanent,Male,1990,Y,0,0,0,level_3,3.23,2011,6.0,6,4,3,0,2,0,1,71.88666666666667,74.36,0.0,5,7,3
33,JG04,1.92,PG03,1.92,1.0,RM_type_A,Permanent,Male,1983,Y,1,0,1,level_4,2.85,2005,6.0,6,5,3,2,0,0,0,67.86000000000001,68.4,0.0,6,7,3
34,JG04,1.92,PG03,1.92,1.5,RM_type_A,Permanent,Male,1986,Y,1,0,1,level_4,3.03,2008,5.0,5,3,3,0,2,3,0,58.09666666666666,61.6,0.0,6,7,3
